Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
-1.018680284144143569e-04,-4.965830775459750303e-03,7.988253688272639250e-03,8.851576940098105135e-07,4.111938461941111922e-05,2.401086372550594841e-05,5.828483584617716323e-05
-8.668527188375018799e-05,-3.645729248932650865e-03,6.748227531540614346e-03,-2.447509295214025970e-05,1.725282834064760339e-05,-3.639259116819845268e-05,-5.447572814887970056e-06
-5.559676284420120643e-05,-3.004819218779246608e-03,6.976530707926787388e-03,-6.977451311171804743e-07,2.461450439757140434e-05,1.861360220110468291e-05,4.556696050162320098e-05
-8.016897730968051755e-04,-3.456219501015799118e-03,5.796855129706912808e-03,-9.530281080823485964e-04,-3.294898679407193796e-04,-1.335910210638998263e-03,-1.525241561043264461e-03
-1.294825088639025310e-04,-2.852756701733489154e-03,5.414410683385440827e-03,-1.072848419689611567e-04,-1.648257177381696331e-04,-4.475626547830826620e-04,-5.775420972038208464e-04
-4.430890980641761904e-05,-2.599521197041923179e-03,5.909350504316243993e-03,-3.634586108991038190e-06,3.131270636164253183e-05,3.097469815442284219e-05,6.745417319570136004e-05
-6.284879340106448156e-04,-5.708022940013650348e-03,8.284918117594519682e-03,-3.138690637377809897e-04,1.711121142746019179e-04,-4.599318147896155635e-04,-6.812365301562461649e-06
-4.339651624800943980e-04,-3.963379127795927867e-03,6.742845418973117400e-03,-2.743083196371125308e-04,-9.430932565624088688e-05,-4.968643927940256770e-04,-4.794840132857120137e-04
-7.725998720299666355e-05,-2.662068569509882035e-03,5.233518187745379510e-03,-3.391148457058770386e-05,-6.237952953169978660e-05,-8.793483578064335815e-05,-1.172487819847567057e-04
-6.162493844528596585e-04,-8.958144834392492081e-03,1.025929869917737922e-02,-4.225660856363809263e-07,1.636840518111603291e-04,1.188213282505621004e-04,3.777599900588124123e-04
-2.083694756255537769e-04,-7.392525312405448350e-03,9.922588868263198733e-03,4.909725992363150584e-08,1.554827627309222037e-05,7.297039557956127403e-06,2.691696256233760731e-05
-7.470185988932363363e-04,-1.018310257783083123e-02,1.043639981161986405e-02,8.639193145943398010e-07,1.546318231956594154e-04,1.385754522559704330e-04,3.416389046077694539e-04
-5.011808264237780936e-04,-9.651138048676732861e-03,1.106938184606747616e-02,-4.832919529820898526e-06,3.021667030864340640e-05,1.505142549326839387e-06,7.687285320958518254e-05
-4.574932534139272179e-04,-6.769249106670230560e-03,1.001918817431647624e-02,-3.405978025547158183e-05,2.808126105110385411e-05,-1.041727408332921508e-04,3.318230737993316064e-05
-2.112360528429480704e-04,-4.805223649811923847e-03,8.597886888947553485e-03,1.036289240202046653e-06,1.188488879415193277e-04,3.477226875139081654e-05,2.149279888882658538e-04
-3.411267302074516062e-04,-5.729794354158504466e-03,8.814281957409167770e-03,-8.141802889080691405e-05,1.965158510130561652e-04,-9.121131987117851313e-05,2.266264377774228822e-04
-4.664683333753788367e-04,-8.735843615896278502e-03,1.137980385781340274e-02,-1.171002740822499822e-05,-2.333063361430293036e-05,-6.306887411985353988e-05,-7.346394628485354194e-06
-3.027936902393163726e-04,-4.715251356830828938e-03,7.830671610092883317e-03,-3.702693877936028005e-05,-5.773141839521041144e-05,-2.284530198371619318e-05,-1.338343616655294031e-05
-1.878191542545848392e-04,-5.769300697759529618e-03,9.509704967577180604e-03,-3.706880722884590159e-06,1.593440212526826491e-05,2.045616244691587582e-05,6.762709203744645228e-05
-6.477170525016992964e-05,-3.540091212223650963e-03,7.154013146209826229e-03,-1.675438542156210165e-06,1.688297006645494438e-05,4.373385878549797886e-05,8.972681153654316739e-05
-2.651607452005629484e-04,-4.742721552726190427e-03,8.911765105808338097e-03,-1.099397305340979653e-07,6.178495484110996402e-05,5.216981352217519050e-05,1.821581365066291881e-04
-9.776844497276445962e-04,-1.087691124881861628e-02,1.016805420270799724e-02,3.224554076027876987e-06,1.206206435167970673e-04,1.041275768997950666e-04,2.465546780260533368e-04
-3.106838935131941721e-04,-7.587906947490891466e-03,1.028246266063898712e-02,-8.656046628499080872e-07,1.168992903957637000e-05,3.160250383486757388e-06,3.399097894574629582e-05
-3.893955421116320685e-04,-8.041471171199644427e-03,1.052989283567101753e-02,-8.024259255907775890e-06,9.974394285508401622e-05,8.809862993782356601e-05,2.695682753640488692e-04
-6.877220593678831000e-04,-9.774295647903941120e-03,9.215918373969194180e-03,6.152385011511077768e-07,3.612735818169105493e-05,4.007214876988174753e-05,8.126082339851532299e-05
-1.034599515176354029e-03,-1.043511256896106909e-02,9.073127957415258460e-03,1.519834578828663034e-06,8.224544788417119379e-05,6.907059793396335670e-05,1.578878279576972226e-04
-1.915312765931442797e-03,-1.038997307272714228e-02,9.696126892702992481e-03,2.714899407049508345e-06,2.652199445540399871e-04,1.611463300506716127e-04,5.065007661246060354e-04
-2.919114851296730371e-04,-9.114652228692465136e-03,9.650713733907830341e-03,-2.431381575308581832e-07,-9.695772616062634029e-07,1.021843346316041133e-06,-3.698603061062241283e-08
-9.774920059301431480e-05,-2.957665560499370388e-03,7.149272885687448648e-03,-8.230622777937072080e-07,3.728631464158181676e-06,7.694445263782507616e-06,2.537324711783500353e-05
-3.320434300091553641e-04,-7.979382195156101490e-03,1.058231556821570378e-02,2.264821859544219192e-06,1.012341961545503935e-04,3.560492339058109315e-05,1.708103957116256300e-04
-1.055725370656382302e-03,-1.055382366037088855e-02,8.243594291295798168e-03,1.467555211124078931e-07,2.895192184881916069e-05,2.110197787495477441e-05,5.073775602714290003e-05
-5.642624951054312074e-04,-8.640081141398303632e-03,8.487923672979092241e-03,8.377695425677961449e-07,4.126437056163659550e-05,3.303342828741998114e-05,7.889475706313805743e-05
-3.763022175179590650e-04,-8.441379076763570050e-03,1.009708962238515043e-02,-6.253288072403737249e-06,7.900277539585420057e-05,4.165037261238487861e-05,1.574513642323712001e-04
-1.874115336881560716e-04,-4.651498614119209916e-03,8.300902513652818823e-03,-4.243272395686446953e-06,5.469012700245966230e-05,8.374456750575856253e-05,1.723958060158092094e-04
-2.269824404925956628e-03,-1.096843251881997675e-02,9.558696963385583320e-03,7.678797715261234636e-06,4.412426401904845016e-04,2.765233271654017394e-04,8.260021655522174940e-04
-8.756358362990316951e-05,-2.351781274673057573e-03,4.782937147573396337e-03,-1.680989853889101193e-05,-1.249754136658835894e-05,1.622381871935170018e-05,2.420153869437988267e-05
-5.905052243266005203e-05,-3.130983828017510403e-03,7.669130538865111084e-03,2.745862962382484540e-08,2.978727785900026138e-06,2.493341901974515401e-06,8.654794942093646472e-06
-8.345124263254035096e-04,-1.009063386333396151e-02,9.996653498009447358e-03,1.019741860275814013e-07,1.795228936144207079e-04,1.410247835988912696e-04,4.021246616305795482e-04
-5.136750834843998442e-04,-8.896497028098544063e-03,1.047287397566636601e-02,5.252744829051368106e-08,1.981124937442619639e-04,1.316390212373942669e-04,3.999897183062566604e-04
-3.911242725627507078e-04,-6.593625665249675319e-03,9.307593688662043480e-03,-5.440710269752490496e-05,3.077373844440975804e-04,1.070310211286617667e-04,5.120271340718823621e-04
-4.859011600608383443e-04,-5.443815778828616468e-03,8.332551431171836623e-03,-1.376443528370355478e-04,5.673069613049464585e-05,-4.642545864578203528e-05,1.664876042308101008e-04
-1.858653121221727576e-03,-1.046803016032227251e-02,7.599773966544314842e-03,2.527705322699533586e-06,1.890053551301187364e-04,1.604158149535302928e-04,3.672455878905090450e-04
-3.217007873010546692e-03,-1.101160139931134201e-02,8.795527532249401703e-03,4.681976919271212882e-05,1.098527317198971266e-03,7.117323638277504470e-04,1.975352967490185286e-03
-1.852839648107799855e-03,-1.130144862756746020e-02,9.083365958219581301e-03,1.521815812483005033e-06,1.100472484669966775e-04,6.915380959812162255e-05,2.245745610747098674e-04
-3.713054982153457875e-03,-1.123109513744905384e-02,9.472746155900732198e-03,2.145309687345505452e-05,6.697531826398831802e-04,3.443706652734191830e-04,1.281355468491288162e-03
-1.554114500846504564e-03,-1.012983595298944453e-02,9.939446645068806749e-03,-2.822468787529503206e-06,1.908148696916724715e-04,-7.810303042506050919e-05,1.869243145611608524e-04
-1.232714402523458781e-03,-1.017862581330559839e-02,1.056476224435473968e-02,5.716300637846724305e-07,1.346541845962707256e-04,9.737893708103158806e-05,3.079618857483003768e-04
-9.255152733159711107e-04,-9.405544828111679981e-03,9.907239175594731440e-03,1.487466273034009112e-06,7.403305784308898913e-05,-3.899847982018362095e-06,7.799204788705119834e-05
-4.835443811459156006e-05,-2.315676573749972898e-03,4.821761918350211777e-03,-2.348088037512630829e-06,3.869332435915274050e-05,5.034676838900427505e-05,9.641692961273420936e-05
-4.644092657517345611e-05,-1.922090307896641989e-03,5.214117558004242522e-03,-9.309608833828083281e-07,6.376665956072918563e-06,9.156293402222461664e-06,2.557102502227356959e-05
-1.246882446833092004e-04,-5.298003668235071358e-03,8.311094406408510785e-03,3.234630498956814989e-07,2.897351145150048023e-05,1.999809172379546701e-05,4.810635434009235271e-05
-6.612649526097994228e-05,-3.131436792699178896e-03,7.023650536439078260e-03,-2.279905688125706744e-06,3.870723662980769499e-05,2.706837104848884887e-05,7.142039705712517920e-05
-5.549475055338797024e-04,-4.408345272445005070e-03,8.129474916467286857e-03,-1.978454652808431919e-04,3.916638919670462787e-04,-1.211627237824612006e-04,4.233068103846135020e-04
-5.519749132724792321e-04,-3.505692148483833225e-03,6.051316171419632989e-03,-6.794782529675967011e-04,-4.448815742758093590e-04,-1.442110179608247899e-03,-1.884531269286344145e-03
-1.936017882199262847e-05,-2.254865561331508179e-03,5.733478090071415789e-03,-8.426522689265205333e-06,8.859540107950074458e-07,-1.395009078507265975e-05,2.721665427106266398e-06
-4.887091277961780447e-05,-2.649169069922401032e-03,5.855424334282818138e-03,-5.090848693165845615e-06,1.938854738942354762e-05,2.366927221852570541e-05,4.870492069584824883e-05
-3.100322680441996992e-04,-3.645613606664521375e-03,6.830010478147663031e-03,-1.461236149437803963e-04,-2.033148919816645813e-05,-3.705692184165624062e-04,-3.227030399555562553e-04
-1.163545047249303795e-04,-2.985529766658469135e-03,5.776101774902209739e-03,-6.269092081641755240e-05,-1.241475168964310284e-04,-2.231838149481375452e-04,-3.106664298711130675e-04
-5.612476604542028990e-04,-8.274167807062991764e-03,9.833535587221367905e-03,-2.139874174016297507e-06,2.091162962761309837e-04,1.771151431492653508e-04,4.733829244119511768e-04
-2.203825699148454918e-04,-8.063841128793103330e-03,1.013354192864398574e-02,4.254178149254543992e-07,2.835993524760907069e-05,2.583227731119000850e-05,5.778709916681287799e-05
-8.736241467564535975e-04,-1.096945586541765369e-02,1.041676774574558373e-02,6.266171306917669698e-06,2.550654205305463783e-04,2.227073366595172608e-04,5.457940155012936615e-04
-4.438095929414564381e-04,-1.119413891352192582e-02,1.087331355620445306e-02,-3.447698864801454684e-06,3.429809062311083836e-05,3.719195654665411735e-05,1.142757421971490623e-04
-4.102160551693548470e-04,-9.881836595132522869e-03,1.098668250619586756e-02,-1.459536478260151154e-05,1.866643333784283996e-05,1.306206871619222425e-05,9.500864670656848719e-05
-3.937004294159449427e-04,-7.508412205722478014e-03,9.938029644646609664e-03,-3.138291208776041298e-05,8.411664593165659723e-05,1.984055314431412185e-05,2.064706769466604773e-04
-7.972742747993135368e-05,-5.696345662836260065e-03,8.875427610411516441e-03,-1.901267695967947209e-05,3.219521523543194104e-05,6.033004831221891055e-05,1.289924054652649341e-04
