Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
-4.488788369731115668e-02,-8.428880195489296678e-02,1.403133071291861711e+00,-2.940732346879169424e-04,7.909480597486765775e-04,3.663718042910431121e-03,5.744548751998168959e-03
-1.427280554621898623e-01,-4.652663235784025297e-01,1.686210575958970725e+00,-2.297363143669237280e-03,1.226200391424507596e-02,-1.259228358383119098e-02,2.637429265494706243e-03
-6.419759917300166263e-02,-9.573369067278225675e-02,1.282936518182077101e+00,-2.969148629058539321e-05,3.410072192764091251e-03,3.381939202530184069e-03,7.330435112718964100e-03
-4.568923690446823893e-01,-1.071890157762934281e+00,2.030847166163601170e+00,-1.221180442609339778e-01,2.497074966225149018e-02,-3.661552764686696326e-01,-3.141800266616028292e-01
-2.410991060492143900e-01,-8.473521227983097370e-01,1.892661932924489365e+00,-1.554251209547897507e-02,-3.324923803267577915e-03,-1.084528285953223203e-01,-1.036179191782142656e-01
-9.240066639007596394e-02,-3.401967866927130268e-01,1.277511659702213143e+00,-3.694776961245568696e-04,5.805008532699069274e-03,6.114667601811186667e-03,1.676866164553091412e-02
-4.320415596721438600e-01,-5.191528806500280702e-01,1.643031795286300500e+00,-6.399705333274911812e-02,-3.330781504943605698e-02,-1.058346540311008166e-01,-1.188302368888495830e-01
-2.920159234428870154e-01,-6.667417761536195142e-01,1.724608505497749800e+00,-3.457489589968978927e-02,2.638466511128696734e-02,-1.176330932987768585e-01,-7.436179623208399869e-02
-1.565863026519201950e-01,-7.305939169108708331e-01,1.531237896284523226e+00,-5.269190865896495116e-03,1.711449415669977214e-02,-4.393070279450950882e-03,2.864600977348689959e-02
-1.026269179602649767e-01,-6.010842751757432545e-01,1.881272959792945398e+00,-5.550113006056574261e-03,1.531564039253905524e-02,1.449023885361994633e-02,3.603115734695095523e-02
-1.875648615055980351e-02,-1.955035238545056453e-01,1.642729220243154931e+00,-3.321952415343440933e-05,1.735517689773871056e-03,2.467373661732297999e-03,3.926097801379311789e-03
-7.245996375196323003e-02,-6.388181324648680715e-01,1.931380047166815661e+00,-1.127248280497273811e-03,1.616102004809959539e-02,2.489073454191374421e-02,4.389875956924116363e-02
-9.145211958732542279e-02,-3.750578066849596937e-01,1.901220650848881144e+00,-1.714555398869013758e-03,7.025015826235547767e-03,7.447427682263156948e-03,1.314277700180965791e-02
-1.379646671721438400e-01,2.860691346975263727e-02,1.643019307414625985e+00,-8.591365266023130720e-03,2.521119646708232243e-02,6.084745956923508226e-03,3.083334034706963073e-02
-1.333158010267647131e-01,-2.301114486845312612e-02,1.170194193575029518e+00,-2.704976691292062217e-04,3.832561416320229286e-02,4.045416798194897967e-02,7.510719089838902018e-02
-2.396822896401086811e-01,-2.903006019097477131e-01,1.728633360890726056e+00,-2.112272393444156876e-02,-1.179098772969865844e-02,-2.681004598802452787e-02,-2.882163603538868968e-02
-1.169585722447597370e-01,-2.341268096891608308e-01,2.123811780336427812e+00,-5.446699544440563104e-03,2.144478326060334644e-02,9.797155353412804329e-03,2.754660510660416825e-02
-1.489114352675539876e-01,-3.209322723138895994e-01,1.362964179578536106e+00,-3.332652874478035307e-03,4.065033966158045076e-02,3.506800844765626396e-02,8.305991343739656252e-02
