Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
-8.477155243604182766e-02,-2.146630339632286777e+00,1.183631755426666654e+00,-1.137197296496445507e-04,2.675499891279607429e-03,1.244136497946653598e-03,3.330410406033477034e-03
-1.388182490142792769e-01,-1.944921401544309036e+00,1.023751595831054573e+00,-6.019435106574450717e-03,-9.717794767644456766e-03,-2.154012809214657376e-03,-1.552936656468666132e-02
-7.296912598430083108e-02,-1.979186382623757012e+00,1.087878463051688227e+00,-4.437862934005840435e-04,-5.019463014812408728e-04,-3.533343030314895655e-04,-1.324915318998741778e-03
-4.644678288970959801e-01,-1.815823304709049957e+00,8.896701133088213975e-01,-1.360157583319082097e-01,-1.148530191349792506e-01,8.220760595486653610e-03,-1.311535166277560949e-01
-1.965639383740885038e-01,-1.785786989599634333e+00,8.346098367043703892e-01,-1.531785506265310667e-02,-3.444280657608302099e-02,-1.316359447531609272e-02,-5.590911197919443132e-02
-7.752336940189552550e-02,-1.920501026936093814e+00,9.463127188748278185e-01,-1.946560177662073161e-03,-6.596479477655705498e-03,-2.576760545468338021e-03,-1.039332687836047944e-02
-4.800883986099526157e-01,-2.003834389425029006e+00,1.094300446499215429e+00,-6.853729731910744583e-02,-5.031731447786334799e-02,-1.158060141749350791e-04,-5.509654957015819310e-02
-3.122243611171113264e-01,-1.929836561573297748e+00,9.570818506946328075e-01,-4.886054191581454959e-02,-6.630906685052044558e-02,-1.121000022877852165e-02,-9.170535041358342243e-02
-1.278192726421701619e-01,-1.841386213920744863e+00,7.978161541651750399e-01,-1.118418260299348585e-02,-3.517014343443763957e-02,-1.600782166203117141e-02,-5.567773282669609414e-02
-3.272215861772412859e-01,-2.111026824501639254e+00,1.278511636526853845e+00,-6.081476869686321812e-03,4.111150299198128993e-03,9.423452936964837878e-03,1.993758950255702239e-02
-1.076893204264624260e-01,-2.260968166851504701e+00,1.300842016772002063e+00,-7.172239519143730241e-05,9.786145356641545723e-04,1.715460753088597211e-04,1.459129222330869842e-03
-3.681621359868532672e-01,-2.199356098412779126e+00,1.297071301618936356e+00,-1.965153525319178213e-03,9.577770846681158551e-03,1.294813854847251360e-02,2.602794579004555700e-02
-2.859329718590529756e-01,-2.336152717319596395e+00,1.364539939080767095e+00,-1.830198824142477030e-03,-2.123599207400950466e-03,-6.650979895805268077e-05,5.017430525938604974e-04
-2.706621465085317646e-01,-2.382132297919951736e+00,1.339177517141188378e+00,-9.002567723210688766e-03,-1.179140377671060447e-02,-6.375333339643057123e-03,-1.343777321903566815e-02
-1.437090329358290675e-01,-2.261199673803603538e+00,1.227558743525140494e+00,-1.776140836203587113e-03,6.595975964885700434e-03,-1.073527214453643547e-03,6.943970717570756984e-03
-2.924137397767306301e-01,-2.096990508484309679e+00,1.211029398925195011e+00,-2.504777398480583644e-02,-1.051449383000919308e-02,1.697636569456519029e-03,-1.051554082297384562e-02
-2.763347679479850605e-01,-2.343097841809006265e+00,1.419314648519905298e+00,-6.174500916080355103e-03,-2.049994706723562432e-02,-7.586897484487918966e-03,-2.376935312003086720e-02
-1.999270400419993210e-01,-2.120868417545905160e+00,1.027763625322759777e+00,-1.218053798781023982e-02,-4.011632161624709147e-02,-1.456335596514523809e-02,-5.740227553140429817e-02
-1.231879015007443651e-01,-2.292493434516993389e+00,1.243245453481885976e+00,-1.778328906671262401e-03,-6.417694753915834105e-03,-4.481839074197553098e-03,-1.038590058753752210e-02
-1.001726796777752393e-01,-2.094614133979008308e+00,9.839828622405438763e-01,-1.309025666979342318e-03,-6.793417864540976514e-03,-3.768913836788446731e-03,-1.030859129531727474e-02
