Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
-3.593642097721762990e-02,-4.110758106422752745e-01,1.396623498387073115e+00,-2.747484679452307475e-04,-1.691367665045372115e-04,3.136509349302945941e-03,4.030084784755302157e-03
-1.139109539014836608e-01,-7.854219932693324857e-01,1.728605748957820598e+00,-1.606750743197858829e-04,7.591069608625418928e-03,-7.890678340318531964e-03,1.309136127186801696e-03
-5.321103219630836378e-02,-3.721510840643594831e-01,1.312360417639287125e+00,5.599791847435611335e-05,2.550387470908678685e-03,3.297022762538919308e-03,6.377712980315164773e-03
-3.580747413097815635e-01,-1.393585408480956467e+00,2.069766090116010648e+00,-7.211714252714993001e-02,-2.505719182296123337e-02,-2.966539879576164940e-01,-3.156172120081620069e-01
-1.867679839530440034e-01,-1.136089055632477418e+00,1.927130882059035155e+00,-8.600190401610301183e-03,-1.369358339006166748e-02,-9.101773486201594765e-02,-1.020292523619027864e-01
-7.832568119478518220e-02,-6.668060355269793682e-01,1.324906940713570735e+00,2.037646592095323345e-04,3.841901972376496593e-03,7.066049329283407426e-03,1.539597940688022457e-02
-3.373263087041897812e-01,-8.011883981223286710e-01,1.630956893226048088e+00,-4.026976833557209534e-02,-6.677953116107836207e-02,-6.652050780827992171e-02,-1.296968010492856593e-01
-2.336561522802804158e-01,-9.736348517395742030e-01,1.770762274982557782e+00,-1.949003179257130861e-02,-4.926512518202311869e-03,-9.166971815547642066e-02,-8.918214050557658756e-02
-1.254517746006958145e-01,-1.063340274301158850e+00,1.583725216595502694e+00,-9.975574005101420227e-04,7.266659845082970581e-03,-4.103586858698587275e-03,1.607628334881005400e-02
-8.505301383677778271e-02,-9.976823403992431949e-01,1.907943365686637582e+00,-4.158697317378880383e-03,6.913449355264548145e-03,1.215158967574956131e-02,2.192571155852963277e-02
-1.657198068320317116e-02,-6.432270372751807130e-01,1.708266036370075236e+00,-6.166033723869100908e-05,6.120493131663908579e-04,1.829371260072798142e-03,1.959289206336159873e-03
-6.030016195899714354e-02,-1.042783239205104850e+00,1.953569328934338545e+00,-9.411050222114295503e-04,8.471409694526321060e-03,2.196744011907793281e-02,3.135562703645765337e-02
-7.629350285051025859e-02,-8.749957272450320511e-01,1.983981031667943817e+00,-1.247576748643898633e-03,2.884043373928921877e-04,4.821370595232523162e-03,1.634650413451517242e-03
-1.105838395906075800e-01,-5.159093008388991874e-01,1.786940462962017362e+00,-6.267438293761481462e-03,1.415587357167461327e-02,2.054336282250102119e-03,1.245763329737467270e-02
-1.118143834501431483e-01,-5.047747327958680419e-01,1.301392128060792075e+00,1.611635673422989832e-04,3.530923890435519463e-02,3.918083999911411291e-02,6.774256194641940787e-02
-1.876280227243571352e-01,-6.016167571288926208e-01,1.734384280518749044e+00,-1.282143079803583184e-02,-2.314691767991318427e-02,-1.058073673551849364e-02,-3.218993297348515109e-02
-9.733437384110497914e-02,-7.817750940632991474e-01,2.251967845225039788e+00,-5.119954401894810311e-03,8.015688712510012776e-03,1.977215805775874025e-03,4.091844632511955869e-03
-1.246962582721326540e-01,-6.937827506631289998e-01,1.449891033951855590e+00,-3.155817054809695842e-03,2.284894609579098124e-02,3.251661463708736821e-02,6.127985551403051373e-02
