Alpha_estimate_Exponent,Alpha_estimate_PAF,Alpha_estimate_Power,Alpha_estimate_Width,Xi_estimate_Exponent,Xi_estimate_Power,Xi_estimate_Width
3.280150802768006635e+00,9.892966555900313708e+00,4.610276394555357787e-02,3.136576427083437313e+00,1.567341427413784682e+00,4.411049215059702211e-02,4.275771045360435174e+00
3.056736598412195693e+00,1.008277223904927489e+01,1.268376008141785805e-01,3.234171213706334314e+00,1.723082319895426373e+00,1.517427877523004898e-01,3.989520323276519953e+00
3.340800168740488463e+00,1.003424676491396283e+01,5.157441864075669458e-02,2.891175183066486465e+00,1.617361543822462444e+00,4.621521048383773339e-02,4.016542735761099436e+00
2.623989242354249463e+00,1.017084742527381991e+01,8.268012005860120306e-01,3.649898008583417841e+00,1.842285602700476588e+00,8.285917943842660005e-01,3.932905486985748933e+00
2.750643138452009584e+00,1.020599267266013399e+01,2.165038941936059391e-01,3.421023386174982139e+00,1.920510817657817393e+00,1.854322251271117716e-01,3.857981712167913191e+00
3.162294358157655250e+00,1.006198424015318871e+01,9.284560856494036840e-02,2.965455275403255264e+00,1.629305488755258047e+00,5.864156649835657042e-02,4.039376800710504867e+00
3.150799937320478250e+00,1.004649813969930072e+01,4.916197788534742430e-01,3.440389282775647928e+00,1.892290196635506350e+00,8.571421078434495744e-01,3.978197769685225094e+00
2.839525685794111798e+00,1.014934232499864386e+01,3.940743710035863323e-01,3.395846828746334811e+00,1.826093483086369540e+00,5.703753386286721794e-01,4.056986199484930999e+00
2.800714656123964641e+00,1.015041346812811440e+01,1.864760857750111800e-01,3.265000136818472676e+00,1.797014115363594122e+00,9.508226740019996848e-02,3.970438215676255211e+00
3.355959902321241639e+00,1.002344665673500756e+01,9.735519647369896001e-02,3.746302286783854019e+00,1.821422817149838336e+00,3.998659167481564691e-01,3.876477963166218732e+00
3.809310196185934139e+00,9.974987700889849762e+00,2.739713050681969256e-02,3.221981933199125958e+00,1.573285041184260935e+00,6.438626305296503427e-02,4.153980225530164105e+00
3.478041698234249690e+00,1.003809118752527674e+01,7.070406250693279937e-02,3.849179767599009594e+00,1.737287353987645666e+00,3.825443223720849106e-01,3.983774612648318669e+00
3.774015607390293070e+00,1.003359063170677068e+01,6.423141328228074154e-02,3.490736987978912964e+00,1.587341570854186923e+00,3.290607472491818841e-01,4.232752220020738143e+00
4.117432232388479107e+00,1.009607294505227770e+01,1.310657400214029766e-01,2.893164795315908311e+00,1.437678973474902255e+00,7.769777499317765956e-01,4.424268829608392295e+00
4.555669106341697194e+00,1.002200947581110846e+01,5.406892244066405229e-02,2.404924203415174766e+00,1.371665576019802657e+00,1.144182389761480706e-01,4.329290404513075785e+00
3.218919937789675778e+00,1.001883057831775581e+01,2.255603004865377736e-01,3.403730514963624998e+00,1.740364712688762694e+00,4.564520148597215887e-01,4.105895218641861355e+00
