region,model_p,model_q,r2,adj_r2,delta_pred_max_age_minus_min_age,min_pred,max_pred,age_at_min_pred,age_at_max_pred
1,0.00017548311140529478,0.0002506901591504211,0.010109297772610604,0.0085949315784839,0.003663718042910431,-0.0002768580626309567,0.0033868599802794747,5.17,97.0
2,0.2215297700875044,0.23566996817819616,0.0022398755814901916,0.0007134704956892612,-0.012592283583831191,0.0071240982011226694,0.01971638178495386,97.0,5.17
3,2.494379893869384e-06,4.15729982311564e-06,0.014563893373626846,0.013056341961143803,0.003381939202530184,0.0003790939066552584,0.0037610331091854424,5.17,97.0
4,3.115342787587926e-29,5.19223797931321e-28,0.06686732962895836,0.06543979367224584,-0.36615527646866963,-0.04593765905741609,0.32021761741125354,97.0,5.17
5,4.2577584752256625e-28,6.0825121074652324e-27,0.06435737111741824,0.06292599534656262,-0.10845282859532232,-0.027123893378905084,0.08132893521641724,97.0,5.17
6,1.3595143596341311e-05,2.0915605532832788e-05,0.012797517071922226,0.01128726340094599,0.006114667601811187,0.0032815391972811515,0.009396206799092338,5.17,97.0
7,1.8308447681094157e-07,3.328808669289847e-07,0.017265656148278907,0.015762237978184435,-0.10583465403110082,0.05272048898185111,0.15855514301295193,97.0,5.17
8,1.882793603717866e-13,6.0735277539286e-13,0.03126907710992255,0.029787081817382766,-0.11763309329877686,0.014835777255197469,0.13246887055397433,97.0,5.17
9,0.013646045073384603,0.016846969226400745,0.005425342285740875,0.0039038104279423003,-0.004393070279450951,0.022972461292634833,0.03285470473269009,89.6536,28.127499999999998
10,2.8316913824942123e-08,5.899357046862942e-08,0.019184597157723138,0.017684114644450855,0.014490238853619946,0.00608548829712246,0.020575727150742407,5.17,97.0
11,0.010897016722932343,0.013621270903665429,0.005672805637559009,0.004151652357045177,0.002467373661732298,-9.853386393499639e-05,0.0023688397977973015,5.17,97.0
12,9.97657243391218e-20,9.069611303556527e-19,0.04562059238388516,0.04416055249462025,0.024890734541913744,0.0016996423959805156,0.02659037693789426,5.17,97.0
13,0.7436745431115472,0.7666747867129352,0.000631442869098553,-0.0008974228480829183,0.007447427682263157,0.005754600912942628,0.013202028595205785,5.17,97.0
14,0.08732920546160802,0.0959661598479209,0.003338751803768969,0.0018140278136675736,0.006084745956923508,0.017059374073239264,0.030689200803203462,61.1863,97.0
15,3.2859861952063956e-05,4.9787669624339325e-05,0.011873580615896162,0.010361913477623608,0.04045416798194898,0.005687512443750016,0.046141680425698994,5.17,97.0
16,0.04423952253310926,0.05144130527105728,0.004114581586956545,0.002591044485865557,-0.026810045988024528,0.02887961378298609,0.05568965977101062,97.0,5.17
17,0.18326563206978588,0.19705981942987727,0.002468566234627656,0.0009425110070415688,0.009797155353412804,0.012274193530262642,0.02459215549363536,64.8595,97.0
18,0.00016317496663273713,0.00023648545888802484,0.010186199989028588,0.008671951442351888,0.035068008447656264,0.01733519660571655,0.052403205053372814,5.17,97.0
19,1.7019239825383309e-06,2.934351694031605e-06,0.014960677338631267,0.013453732938843221,0.022153202588794337,0.0003094635379436916,0.02246266612673803,5.17,97.0
20,1.1677761806300146e-11,3.3365033732286135e-11,0.027114138009368793,0.02562578635920454,0.022454537840738285,-0.0011605934858868504,0.021293944354851435,5.17,97.0
21,5.6013177679947976e-08,1.0771764938451534e-07,0.018484336356297204,0.016982782561839604,0.05189874318185018,0.0034987563394346336,0.05539749952128481,5.17,97.0
22,1.0407629192054201e-16,6.122134818855413e-16,0.03875356702603894,0.03728302174356979,0.018848055279691963,0.0005316182018922956,0.01937967348158426,5.17,97.0
23,0.023376991789000316,0.02816505034819315,0.004829349322842069,0.0033069056961048116,0.009537066913674373,0.0010897116566949388,0.01062677857036931,5.17,97.0
24,4.2451386748373595e-06,6.959243729241573e-06,0.014011142742899385,0.01250274571496901,0.03531537689012308,0.007205080738868732,0.042520457628991815,5.17,97.0
25,4.2630223529488825e-18,3.552518627457402e-17,0.04191829007604286,0.04045258628727588,0.006591434160615491,0.00020509939390257352,0.006796533554518064,5.17,97.0
26,6.3259802646338545e-27,7.907475330792319e-26,0.061759369345153914,0.060324019068782264,0.010738540963704517,0.0003214494938409211,0.011059990457545438,5.17,97.0
27,0.0001862696297679841,0.0002623515912225128,0.010046190720853332,0.00853172798355728,0.014710258866474013,0.012366092641316823,0.027076351507790836,5.17,97.0
28,0.7822468226743673,0.7982110435452728,0.0005497250059602887,-0.0009792657258000936,0.0009562056824307091,0.00021249578678623002,0.001168701469216939,5.17,97.0
29,9.749282585395173e-11,2.565600680367151e-10,0.024966741891338518,0.023475105086480652,0.01396975584916028,-0.001220865587865755,0.012748890261294527,5.17,97.0
30,0.0022416593328871475,0.003030863357494272,0.0073917294330110295,0.005873205816641192,0.029083824722156742,0.004482819295134627,0.03356664401729137,5.17,97.0
31,6.24558180944135e-11,1.6879950836327974e-10,0.025418040703727218,0.02392709431010709,0.0025689005966297407,-1.6018429506670594e-05,0.00255288216712307,5.17,97.0
32,2.810593417306272e-26,3.1228815747847465e-25,0.06032012856434821,0.058882576491779526,0.005495675794873781,4.593844051802465e-05,0.005541614235391805,5.17,97.0
33,0.003600443550406207,0.004675900714813256,0.006879913948868999,0.005360607340937573,0.0044642922653689784,0.00689520341665757,0.012052634870788975,24.454300000000003,97.0
34,7.732025668835591e-10,1.933006417208898e-09,0.022863257536444692,0.02136840275450136,0.032682350475886315,0.0014541019687234038,0.03413645244460972,5.17,97.0
35,8.281485999003093e-12,2.4357311761773802e-11,0.02746115685184458,0.025973336082112497,0.029043387256951617,0.011613728878479444,0.04065711613543106,5.17,97.0
36,5.083209588252295e-12,1.5403665418946348e-11,0.02795365625483437,0.026466588926310264,0.033697274427816906,0.005516720988707129,0.03921399541652404,5.17,97.0
37,0.06999562366780425,0.07954048144068665,0.003593048231881002,0.0020687132725212276,0.0010425202626637422,1.9910975955797776e-05,0.00106243123861954,5.17,97.0
38,2.2246401574183193e-14,8.239407990438221e-14,0.03340852913078696,0.03192980683980895,0.013778843971990262,0.005394269296450535,0.019173113268440796,5.17,97.0
39,1.6365861450817525e-07,3.0307150834847263e-07,0.01738123198647712,0.0158779906279658,0.01272323138297565,0.00734272510225548,0.02006595648523113,5.17,97.0
40,0.3968118624376039,0.417696697302741,0.0015112437327299277,-1.627603718445947e-05,0.020669163322637595,0.041310459493640414,0.06197962281627801,5.17,97.0
41,0.1797714443727036,0.19540374388337345,0.0024916143030120352,0.0009655943350920237,0.04095961817128234,0.05777245530077736,0.0987320734720597,5.17,97.0
42,7.1225130946811e-17,4.748342063120733e-16,0.039129942279384156,0.0376599727877156,0.027550073030903014,-0.0005937444452926736,0.02695632858561034,5.17,97.0
43,9.906285628009138e-40,4.953142814004569e-38,0.0897247153142342,0.08833214731114525,0.11608413442520517,0.010811702308849216,0.12689583673405438,5.17,97.0
44,3.247092524265755e-08,6.62671943727705e-08,0.01904416463083669,0.017543467279430458,0.006799562313729297,0.0006355001654686469,0.0074350624791979444,5.17,97.0
45,4.233176819781343e-09,9.620856408593961e-09,0.021129807155594538,0.019632300486276177,0.051613007494156295,0.005761887972714841,0.057374895466871134,5.17,97.0
46,1.983871020683164e-06,3.362493255395193e-06,0.014801630456214299,0.013294442741460855,-0.04225761319264998,-0.008063897348374205,0.034193715844275774,97.0,5.17
