region,model_p,model_q,r2,adj_r2,delta_pred_max_age_minus_min_age,min_pred,max_pred,age_at_min_pred,age_at_max_pred
1,0.048730197015043386,0.051840635122386576,0.00400526672012802,0.002481562385686531,-0.00029407323468791694,-0.00031785932533113576,0.00015666046078001062,97.0,49.248400000000004
2,2.7901476421839878e-09,8.719211381824962e-09,0.021555389034338956,0.020058533433677472,-0.0022973631436692373,-0.0014508914122484742,0.0034326081522161296,97.0,31.8007
3,9.8559697475414e-06,1.642661624590233e-05,0.013133414445507863,0.011623674640987902,-2.9691486290585393e-05,-6.0283755525809835e-05,0.0002846382059612214,96.0817,34.5556
4,2.0438707650199436e-09,6.593131500064334e-09,0.021872909424052622,0.020376539576154595,-0.12211804426093398,-0.056374490232105945,0.07907003898450246,97.0,24.454300000000003
5,3.303232079829807e-09,9.715388470087666e-09,0.021383094607166142,0.019885975425025015,-0.015542512095478975,-0.008344777189763862,0.008418586260088855,97.0,25.3726
6,1.5045998637261735e-07,3.669755765185789e-07,0.0174678518331548,0.015964742988432312,-0.00036947769612455687,-0.0004770914575326947,0.0011889321685188657,97.0,34.5556
7,9.268247015780033e-11,3.7072988063120137e-10,0.02501803908829414,0.023526480759515245,-0.06399705333274912,-0.044902271386024095,0.04032919613631266,97.0,34.5556
8,4.925781980003475e-12,3.078613737502172e-11,0.02798538720627164,0.026498368420763585,-0.03457489589968979,-0.0187996500309201,0.027640451990369314,97.0,29.964100000000002
9,2.325365881769746e-10,8.612466228776836e-10,0.024084739606285877,0.02259175348635656,-0.005269190865896495,-0.004611395119149417,0.006447103812056692,97.0,34.5556
10,1.1518940951601672e-09,3.972048604000577e-09,0.022457370446790748,0.020961894725903485,-0.005550113006056574,-0.005917520333839292,0.004392653721028801,97.0,40.9837
11,0.16475452636213309,0.17161929829388864,0.002595697727188706,0.0010698369893923365,-3.321952415343441e-05,-4.0821244486500944e-05,5.698491279377207e-05,97.0,39.1471
12,4.990817352797438e-07,1.01853415363213e-06,0.016230763338889176,0.014725761956949635,-0.0011272482804972738,-0.0013853629721880048,0.0014415236782029505,97.0,40.065400000000004
13,5.402645040992339e-05,8.44163287655053e-05,0.01135146301246659,0.00983899712212355,-0.0017145553988690138,-0.0015509112495855617,0.001091394248940393,97.0,38.2288
14,0.00010767284115153578,0.0001497162080491809,0.010625244179577997,0.009111667296629822,-0.00859136526602313,-0.006945204573303887,0.00513202496326649,97.0,36.3922
