region,model_p,model_q,r2,adj_r2,delta_pred_max_age_minus_min_age,min_pred,max_pred,age_at_min_pred,age_at_max_pred
1,1.2827880152921543e-05,1.5455277292676556e-05,0.012858216047799353,0.011348055236041654,0.0007909480597486766,-1.596583844253437e-05,0.002914989385513292,5.17,64.8595
2,4.079710541726013e-06,5.099638177157517e-06,0.014052497145353282,0.01254416338269948,0.012262003914245076,0.00831155710994734,0.020573561024192416,5.17,97.0
3,1.7214543425340508e-06,2.235654990303962e-06,0.014948841464343166,0.013441878957659248,0.0034100721927640913,1.6188851568862614e-05,0.003426261044332954,5.17,97.0
4,6.119183591243726e-05,7.033544357751409e-05,0.011220497258481177,0.009707831012573553,0.02497074966225149,0.1383365508631012,0.20977059857538222,5.17,31.8007
5,3.3738732965719235e-05,3.9231084843859576e-05,0.011845894086932818,0.010334184592930118,-0.003324923803267578,0.030154091630192947,0.050227540570732136,85.9804,29.0458
6,1.3033592545758558e-08,2.1366545156981244e-08,0.019979782496403864,0.018480516482884735,0.005805008532699069,0.0010955672412107757,0.010685540800502213,5.17,37.310500000000005
7,2.6088397351495226e-06,3.3446663271147724e-06,0.014517293123183284,0.013009670420158992,-0.03330781504943606,0.04430037789975266,0.13688235766590853,97.0,42.8203
8,3.2244137092818813e-10,6.448827418563763e-10,0.023752706730505557,0.022259212656151273,0.026384665111286967,0.05539416981596472,0.10725271431356738,5.17,32.719
9,6.663874244496024e-12,1.7086857037169294e-11,0.02768049592501165,0.026193010707150743,0.017114494156699772,0.013582572313395854,0.04032405083812177,5.17,31.8007
10,6.704144855019569e-13,1.862262459727658e-12,0.029993592949527415,0.02850964638086262,0.015315640392539055,0.0032676790592582813,0.01900506115844125,5.17,51.085
11,0.003248171342310063,0.003492657357322648,0.006991341697440423,0.0054722055552131055,0.001735517689773871,6.928375527501211e-05,0.0018048014450488831,5.17,97.0
12,2.5710019202947066e-14,7.790914909983959e-14,0.03326379300595672,0.03178484929306413,0.016161020048099595,0.001664200125717577,0.01782522017381717,5.17,97.0
13,0.01927080943846759,0.0198668138540903,0.005043882502638097,0.003521767075564064,0.007025015826235548,0.003189460432307043,0.01021447625854259,5.17,97.0
14,0.00013609058911000875,0.0001529107742809087,0.010378005094855758,0.008864049977713617,0.025211196467082322,0.008254038430539496,0.03346523489762182,5.17,97.0
15,6.678806695507738e-10,1.214328490092316e-09,0.02301227744328016,0.021517650636716956,0.03832561416320229,0.000663285660985613,0.038988899824187906,5.17,97.0
16,7.35133424058267e-07,9.80177898744356e-07,0.0158303061740388,0.01432469216002652,-0.011790987729698658,0.015379662760293317,0.057276997409963976,97.0,47.4118
17,9.15690576376845e-07,1.2048560215484804e-06,0.015603003784361968,0.014097042035944307,0.021444783260603346,0.005070584932329195,0.026515368192932542,5.17,97.0
18,5.664578826066148e-15,1.9533030434710858e-14,0.03477530210721502,0.03329867074888837,0.04065033966158045,0.00571380932053904,0.04636414898211949,5.17,97.0
19,3.632174376987961e-06,4.597689084794887e-06,0.014173353531307331,0.012665204658586116,0.019475244560184398,-0.00013228367321127185,0.019342960886973126,5.17,97.0
20,2.026302303799141e-08,3.166097349686158e-08,0.019527739192447213,0.018027781628743522,0.018527815564062074,-0.0007560337366349064,0.01777178182742717,5.17,97.0
