region,model_p,model_q,r2,adj_r2,delta_pred_max_age_minus_min_age,min_pred,max_pred,age_at_min_pred,age_at_max_pred
1,9.256050860274462e-05,0.0001492911429076526,0.00942285509985108,0.008413092464886529,0.0012441364979466536,1.8477026615076326e-05,0.001906887797184425,5.17,63.0229
2,0.2583339246545407,0.28703769406060076,0.0013787654981122222,0.0003608029756841935,-0.0021540128092146574,0.015702625033289015,0.01844228228737204,67.6144,5.17
3,3.2455582050105864e-06,5.996455294695728e-06,0.012800369583402249,0.011794049878594226,-0.00035333430303148957,0.00048168857878870926,0.0032046655279253547,97.0,49.248400000000004
4,4.630182077355349e-23,5.787727596694186e-22,0.051072515631030435,0.05010520932688267,0.008220760595486654,0.11721101338839027,0.2827418894762867,50.1667,97.0
5,5.2566572180291005e-23,5.840730242254556e-22,0.050949757370725046,0.04998232593073593,-0.013163594475316093,0.028355832519199063,0.06969789326141373,55.676500000000004,5.17
6,1.5777820267932698e-05,2.6742068250733386e-05,0.011207775061323644,0.01019983191663587,-0.002576760545468338,0.0017656578409829709,0.009800592965531976,97.0,46.493500000000004
7,8.795099785608258e-07,1.7245293697271093e-06,0.014113424795929697,0.0131084435775769,-0.00011580601417493508,0.09365747817595937,0.14565105822232458,51.085,5.17
8,1.5388162689218813e-11,5.918524111238005e-11,0.02506028009661665,0.024066457752168757,-0.011210000228778522,0.07125239792338062,0.11947882533103771,53.8399,5.17
9,0.006984597797926763,0.009700830274898284,0.005047410305882516,0.004033187482544998,-0.01600782166203117,0.013184993966014802,0.03260691702800075,97.0,32.719
10,7.461378816065068e-09,1.963520741069755e-08,0.018895174163822137,0.017895067307719947,0.009423452936964838,0.00670394220870936,0.016127395145674198,5.17,97.0
11,0.02677538724098024,0.03477323018309122,0.0036835884835400012,0.00266797542389019,0.00017154607530885972,0.0001816957677308726,0.0008851275390577368,5.17,53.8399
12,2.1140661491919067e-19,2.1140661491919064e-18,0.042886540410474905,0.04191088958520517,0.012948138548472514,0.0031573604302825623,0.016105498978755076,5.17,97.0
13,0.9907067561621439,0.9907067561621439,9.517483191778808e-06,-0.001009840806835527,-6.650979895805268e-05,0.006605245322418192,0.006892025125846313,97.0,48.3301
14,0.05208779941091643,0.06352170659867856,0.0030075218692320327,0.0019912196489152434,-0.006375333339643057,0.018357646917346544,0.026125337099140465,69.45100000000001,5.17
15,0.11056681619194061,0.130078607284636,0.002242268558937388,0.0012251862638903432,-0.0010735272144536435,0.009682872282334299,0.015493906946498891,97.0,48.3301
16,0.048462779800779114,0.06057847475097389,0.0030808297976543386,0.0020646023050933104,0.001697636569456519,0.04062353624340193,0.05390763722758035,49.248400000000004,97.0
17,0.21846185156349596,0.2482521040494272,0.0015494038068051275,0.0005316152276071406,-0.007586897484487919,0.009330007084639035,0.016962261648270173,97.0,11.598099999999999
18,0.008055040600457378,0.011034302192407365,0.0049027811066658655,0.0038884108529518846,-0.014563355965145238,0.00882986479304997,0.03234433540989235,97.0,40.065400000000004
