region,model_p,model_q,r2,adj_r2,delta_pred_max_age_minus_min_age,min_pred,max_pred,age_at_min_pred,age_at_max_pred
1,8.414309519867523e-06,1.0261353073009174e-05,0.011841237093788815,0.010833939680020999,0.003330410406033477,-4.1219331660896236e-05,0.004395038933711401,5.17,66.6961
2,0.0004342512459179019,0.0004991393631240251,0.007860773343785321,0.006849418372678051,-0.015529366564686661,0.013002070244320728,0.04011005528475287,97.0,41.902
3,5.142131523748872e-09,7.674823169774436e-09,0.01926741584749192,0.018267688442647367,-0.0013249153189987418,-0.0001344751593235431,0.007336882329913942,97.0,49.248400000000004
4,4.56711517888293e-06,5.781158454282189e-06,0.012456556553178455,0.011449886376372231,-0.1311535166277561,0.30327604285037135,0.43442955947812745,97.0,5.17
5,1.5821619221708463e-09,2.472128003391947e-09,0.020445062400955116,0.019446535451312807,-0.05590911197919443,0.05314405856234082,0.10905317054153525,97.0,5.17
6,1.0182156636863043e-10,1.8182422565826863e-10,0.023180520328488607,0.022184781817100707,-0.01039332687836048,-0.0036126002725668347,0.022366504885551447,97.0,45.5752
7,0.005629022373467943,0.006052712229535423,0.00526622675141919,0.004252226982562335,-0.05509654957015819,0.1587542943656004,0.25629096310415517,97.0,41.902
8,3.0454640234544035e-06,3.955148082408316e-06,0.01286440373231601,0.011858149301869791,-0.09170535041358342,0.08992619536755282,0.20349914739005898,97.0,32.719
9,1.2197419142434483e-10,2.1030033004197387e-10,0.023000685803733822,0.022004763974787567,-0.055677732826696094,-0.0076843044228593164,0.07902634122875259,97.0,39.1471
10,2.4536985005661512e-23,1.291420263455869e-22,0.051686556102905956,0.050719875731960906,0.019937589502557022,0.00967058591689842,0.03919461077695627,5.17,63.9412
11,0.0007616755028720623,0.0008558151717663622,0.007292332894046294,0.006280398472939264,0.0014591292223308698,0.0003039027387507414,0.0023886113089153526,5.17,64.8595
12,2.8360900223117745e-26,1.6682882484186908e-25,0.05820166027056062,0.05724162118826759,0.026027945790045557,0.004713185502550871,0.030741829394646623,5.17,96.0817
13,0.0181936726742104,0.019151234393905682,0.004075953434065971,0.0030607403386878618,0.0005017430525938605,0.00987962890382902,0.01821798871575061,5.17,52.0033
14,0.039949868535103926,0.04118543147948858,0.003277115842557743,0.002261088437708114,-0.013437773219035668,0.022099856814199622,0.04970009040367023,97.0,43.738600000000005
15,1.9020390350969944e-08,2.678928218446471e-08,0.017958856312246585,0.01695779500369632,0.006943970717570757,0.012934474407752899,0.032370175224064456,5.17,56.5948
16,5.629578737701772e-05,6.701879449644967e-05,0.009924825142016758,0.008915574199246046,-0.010515540822973846,0.06336197574863006,0.10742343177531015,97.0,48.3301
17,0.0008308623728761724,0.0009231804143068581,0.007204347825101487,0.00619232371483136,-0.023769353120030867,0.0009596649541109237,0.04255912861681578,97.0,41.902
18,3.788564103572805e-12,7.285700199178472e-12,0.02645223827580856,0.025459834848974516,-0.0574022755314043,-0.020728719789824154,0.08020644775910453,97.0,41.902
19,1.081887375752873e-06,1.4425165010038305e-06,0.013905273772628735,0.01290008037178525,-0.010385900587537522,-0.004915158964601249,0.021070060153159955,97.0,45.5752
20,1.1442375005278857e-10,2.0074342114524312e-10,0.02306432394651403,0.0220684669882536,-0.010308591295317275,-0.00687230320583786,0.021442005239996825,97.0,45.5752
21,1.5811043084742095e-09,2.472128003391947e-09,0.020445730100339787,0.01944720383132892,-0.014790464349391947,-0.0002671111915001487,0.046342293753582044,97.0,46.493500000000004
22,8.513643350407287e-18,2.6605135470022772e-17,0.03927408416417488,0.03829475091663581,0.020310274734060198,0.0031517179026725297,0.023461992636732727,5.17,97.0
23,0.03177808531933857,0.03310217220764434,0.00350960504110287,0.0024938146283006724,-0.0009645540224101196,0.0025424960254640033,0.008074172551782926,97.0,49.248400000000004
24,1.3320450654398059e-12,2.775093886332929e-12,0.027489017020865703,0.02649767045309892,-0.012917839445793545,0.004088329516937117,0.05721932746348237,97.0,48.3301
25,1.6799721002524038e-18,5.9999003580442995e-18,0.04086212310265891,0.03988440865118348,0.008294154970827389,0.0006406614896663329,0.008934816460493721,5.17,97.0
26,1.7005022984725463e-39,2.125627873090683e-38,0.08698126062866329,0.08605055854979338,0.015158232793111015,0.0012279803634478723,0.016386213156558888,5.17,97.0
27,3.804087740140343e-19,1.4631106692847474e-18,0.04231320996904231,0.04133697470907183,0.04575355529759763,0.016958501934242826,0.06271205723184045,5.17,97.0
28,0.798156707372344,0.798156707372344,0.00022979043985849046,-0.0007893433109673609,-0.00034268092089053423,0.00026058930668428255,0.0008678179568392043,97.0,41.902
29,9.24552214558336e-08,1.2665098829566246e-07,0.01637468893524352,0.015372012777175481,-0.006965418644998241,-0.005461037464348648,0.009747219035027978,97.0,43.738600000000005
30,1.2319616765003486e-06,1.6210022059215114e-06,0.013774689828983666,0.012769363315047855,0.013700536402157973,0.00961405515616107,0.023314591558319043,5.17,97.0
31,6.563425343014217e-15,1.6829295751318507e-14,0.0327417628534723,0.03175577076667657,0.0037519958632008794,0.0001589808256521246,0.003940158219560467,5.17,89.6536
32,9.530173547272464e-39,1.0589081719191626e-37,0.08537574909945833,0.08444341041352499,0.007688687676347775,0.00037882929849946453,0.00806751697484724,5.17,97.0
33,1.4165332615571467e-10,2.400903833147706e-10,0.02285171120129459,0.021855637512406934,0.00941952318161096,0.010189011517736287,0.02200485781514673,5.17,68.5327
34,1.4661484856012795e-12,2.9921397665332233e-12,0.027393918958770302,0.026402475451082985,-0.009053136972234518,-0.00031367907574790207,0.035062122514781434,97.0,47.4118
35,1.2571725325518044e-41,2.0952875542530075e-40,0.09153702448331369,0.09061096640429567,0.08045546325567221,0.015888099802328325,0.09634356305800054,5.17,97.0
36,9.764404211357499e-15,2.4411010528393746e-14,0.03235001699425022,0.03136362557426475,-0.04920712091105067,-0.027294507052510533,0.06310829238228009,97.0,41.902
37,0.0008985977877267778,0.0009874700964030525,0.007125030941010024,0.006112925977647121,0.0007847307680891128,0.0001763239092970654,0.0009610546773861782,5.17,97.0
38,2.0524148510754703e-31,2.05241485107547e-30,0.06949672641942195,0.06854820116602678,0.03078111447592976,0.007279667855868455,0.038060782331798215,5.17,97.0
39,1.5260703609051703e-20,6.358626503771544e-20,0.04544760817263904,0.044474568017871086,0.017929784911862885,0.010231283637181336,0.04324472005393417,5.17,60.268
40,2.932087657788232e-10,4.806701078341364e-10,0.022126796679790783,0.02112998403624311,-0.0008001834434921626,0.05829667343591699,0.11766069912481109,97.0,51.085
41,6.31849168508659e-14,1.5410955329479488e-13,0.030506352390181624,0.029518081597511014,-0.08051854993454646,0.013565099456324475,0.17537829405522665,97.0,42.8203
42,2.5712907313496522e-26,1.6070567070935327e-25,0.05829575701436751,0.05733581385128328,0.029324048139683225,0.0011104002359006852,0.03043444837558391,5.17,97.0
43,1.3224295611235763e-91,1.3224295611235763e-89,0.19209325113592157,0.19126969685573392,0.2007841647649827,0.019370314913457125,0.22015447967843982,5.17,97.0
44,4.4610702630119005e-21,1.9395957665269135e-20,0.04664359302198695,0.04567177201589312,0.017680296745125213,0.0016588731421004273,0.01933916988722564,5.17,97.0
45,1.281526073944099e-39,1.8307515342058558e-38,0.08724449229340159,0.08631405854446517,0.1121232576249205,0.015373646464540073,0.12749690408946057,5.17,97.0
46,1.3833082029484442e-05,1.666636389094511e-05,0.011340353232605294,0.010332545233861734,0.03806581718332075,0.023644660890961663,0.07196084567229546,34.5556,97.0
47,8.709422992212626e-10,1.4047456439052623e-09,0.021040973464890533,0.02004305396791284,0.019688234624213027,0.011776598812207155,0.03450150639300247,5.17,72.2059
48,0.044883008733333715,0.04579898850340175,0.003158808771286825,0.002142660767995519,0.011863139095759964,0.011539031067516756,0.024784304368477464,27.209200000000003,97.0
49,8.722806031799121e-14,2.0285595422788653e-13,0.030187621757745475,0.029199026061270117,-0.017179068889709107,-0.012574474704301826,0.02868843250248545,97.0,44.6569
50,6.830531720889755e-09,1.0044899589543758e-08,0.01898351732928094,0.017983500527373963,-0.004374295899893277,-0.002955927333209842,0.007664102398888696,97.0,44.6569
51,1.4108572012359559e-08,2.015510287479937e-08,0.018257856851848442,0.017257100334877817,0.00282626830692216,8.721568570511747e-05,0.0037169747053039932,5.17,67.6144
52,3.6647937568933464e-13,7.797433525304993e-13,0.028767536812160377,0.027777493526545793,-0.006486255080820798,-0.0006099113069184966,0.018881540546883003,97.0,46.493500000000004
53,2.5156450354027294e-09,3.811583386973833e-09,0.019981899015540705,0.018982899931968333,-0.04053969367767109,0.10514807811792486,0.2243845249598824,97.0,46.493500000000004
54,2.5031877496984484e-18,8.63168189551189e-18,0.04047214321475323,0.03949403123026263,-0.14443754249284135,0.19205588892833797,0.3364934314211793,97.0,5.17
55,1.0389598024173022e-07,1.4039997329963544e-07,0.016257703989395966,0.01525490858061851,-0.01880532136589973,-0.00327180714493918,0.030567595201439673,97.0,41.902
56,2.507789603454225e-12,5.01557920690845e-12,0.02686160330406484,0.025869617170837578,-0.015765967967888362,-0.006444524225662771,0.02701599087190518,97.0,43.738600000000005
57,1.771599927817432e-11,3.2807406070693184e-11,0.02492027070010938,0.023926305634564105,-0.10255146558850173,0.04417905264519912,0.19267396846832432,97.0,38.2288
58,2.6368328567998563e-13,5.732245340869253e-13,0.029093397987088654,0.028103686873925615,-0.07715001377252151,-0.005740997974776778,0.09899154692374786,97.0,36.3922
59,1.0757949907513306e-30,8.964958256261087e-30,0.06792404546085995,0.06697391706683431,0.02463054059299199,0.015990505093349542,0.05316823553369267,5.17,63.0229
60,5.947244726194823e-12,1.1221216464518534e-11,0.026004620052004546,0.025011760337480538,0.0052868955884875874,0.0003964754117021092,0.005683371000189697,5.17,97.0
61,1.753012344705628e-42,3.5060246894112563e-41,0.09335963428569138,0.09243543411676747,0.05193499769339212,0.0066370455009388,0.05857204319433092,5.17,97.0
62,0.0005376793092297706,0.0006109992150338302,0.007644684921425671,0.006633109676697169,0.0016338043383780382,0.007944888621475287,0.019701966475257862,5.17,52.921600000000005
63,0.01117223086790103,0.011885351987128754,0.004570891528671073,0.0035561829573445003,-0.007525556122215471,0.01330420454308588,0.03728017401263947,97.0,46.493500000000004
64,5.7091848220679495e-06,7.1364810275849365e-06,0.0122318477482517,0.01122494851048228,-0.012722413421471557,0.020909246930342597,0.06659553123305674,97.0,47.4118
65,8.308920794892047e-17,2.3339034029282765e-16,0.03704033044084909,0.03605872017626277,-0.05471728861723954,-0.036129241243144684,0.07558066216383075,97.0,43.738600000000005
66,1.8981016488824757e-09,2.9201563828961165e-09,0.020263251679456862,0.019264539397784497,0.011026063975532439,0.01781101113467025,0.043871967781262816,5.17,57.5131
67,5.289678824915225e-18,1.7063480080371693e-17,0.0397400480101614,0.0387611897512522,-0.07141871142155123,0.07350403074573927,0.27517826212326224,97.0,46.493500000000004
68,6.51109965251366e-08,9.043193961824527e-08,0.016726195439907388,0.015723877596319102,-0.001676256441062604,0.011555749602009013,0.03653838400404347,97.0,50.1667
69,4.947377353755609e-17,1.499205258713821e-16,0.03754913353262568,0.03656804192562524,-0.016728379085177998,-0.003755829364221533,0.05176086545143081,97.0,47.4118
70,6.700797941742612e-17,1.9708229240419447e-16,0.0372514547211652,0.03627005966991248,-0.07236008702748718,-0.03664191075178424,0.10754721112917062,97.0,42.8203
71,3.7399081428575306e-12,7.285700199178472e-12,0.026465066030168516,0.025472675679536594,-0.009921112902801689,0.001396443872909211,0.04473665585678598,97.0,48.3301
72,8.555185003109875e-14,2.0285595422788653e-13,0.03020680373178819,0.029218227588803214,0.01645060346426284,0.0033472073949382874,0.020549653666084494,5.17,81.3889
73,0.00032207204138134953,0.0003745023736992436,0.00816296874502076,0.007151921822232787,0.0033564571407296694,0.003141077897506524,0.010679406763631447,5.17,57.5131
74,2.148033077069398e-22,1.0228728938425707e-21,0.04958698240865156,0.04861816179948597,-0.012644736159711241,0.03708379084039819,0.16253038440231926,97.0,50.1667
75,4.476842738243352e-18,1.4922809127477838e-17,0.03990334632492476,0.03892465452709082,-0.004141672191582065,0.018840810852743105,0.08089846208351337,97.0,50.1667
76,1.509529956530398e-22,7.54764978265199e-22,0.04992867656796984,0.048960204270893315,0.012167577678612795,0.0012061397457432752,0.01337371742435607,5.17,97.0
77,1.2716799835105308e-08,1.843014468855842e-08,0.01836178853675663,0.01736113796441896,-0.005340560767185382,-0.0037572668230163226,0.01013334422116473,97.0,45.5752
78,7.448597268240856e-06,9.19579909659365e-06,0.011964027119813592,0.010956854874268007,0.0028838663606416473,0.0028751466793869975,0.008668606003147583,5.17,59.3497
79,1.5221142424020413e-29,1.170857109540032e-28,0.06540315818934672,0.0644504600835254,0.010862800755035356,0.0011661639204047212,0.012028964675440077,5.17,97.0
80,3.2285761371669544e-11,5.870138431212644e-11,0.024323551939680388,0.023328978598130545,0.004033853783160964,0.000385321725958247,0.00441917550911921,5.17,97.0
81,9.584087748574483e-20,3.8336350994297933e-19,0.04365806087151147,0.042683196509504806,-0.05455091895895066,-0.02125596264102271,0.1188061756308719,97.0,45.5752
82,8.402052250541795e-17,2.3339034029282765e-16,0.03702938909609099,0.03604776767824802,-0.14160594451119496,-0.012658533985267577,0.28214309422328726,97.0,43.738600000000005
83,8.253870208232635e-44,2.063467552058159e-42,0.09617943286958308,0.09525810711307903,0.12803589095974824,0.020419610770323234,0.14845550173007147,5.17,97.0
84,7.8633503524628655e-31,7.148500320420786e-30,0.06822179876115153,0.06727197388730966,0.06457082079629632,0.013071913105994844,0.07764273390229116,5.17,97.0
