region,model_p,model_q,r2,adj_r2,delta_pred_max_age_minus_min_age,min_pred,max_pred,age_at_min_pred,age_at_max_pred
1,7.005886561749094e-88,2.5021023434818193e-87,0.1850002889953163,0.1841695043765551,-2.1466303396322868,-1.7278695103957529,1.5682019514955234,97.0,39.1471
2,2.928149996078238e-82,5.524811313355167e-82,0.17417608589783995,0.17333426743290392,-1.944921401544309,-1.559432535409629,1.5174347870829774,97.0,40.065400000000004
3,1.5099253963462266e-90,6.564893027592289e-90,0.19008526135182335,0.18925966019112184,-1.979186382623757,-1.6740722793023035,1.5322468076087212,97.0,40.065400000000004
4,3.890635511456408e-64,3.890635511456408e-64,0.13828848471092758,0.1374100835740376,-1.81582330470905,-1.3764445204533249,1.4905891158550253,97.0,40.065400000000004
5,1.9356859663888334e-68,2.0163395483217013e-68,0.14694827234050833,0.14607869871394408,-1.7857869895996343,-1.389329430801984,1.488573505429579,97.0,40.065400000000004
6,2.1203239241526252e-85,5.300809810381564e-85,0.18024052575572214,0.17940488918666575,-1.9205010269360938,-1.5953908651029265,1.5495982985281507,97.0,40.065400000000004
7,3.1201372921878884e-72,3.466819213542098e-72,0.15450849300875336,0.15364662602914958,-2.003834389425029,-1.5086333964302117,1.4552806196011614,97.0,38.2288
8,1.4610701749014645e-77,2.0292641318075896e-77,0.16501913106424193,0.16416797829264584,-1.9298365615732977,-1.5028189286821119,1.5132708086922648,97.0,40.065400000000004
9,2.574062599021134e-77,3.526113149344019e-77,0.16453697024713354,0.16368532597623353,-1.8413862139207449,-1.4747597838551978,1.5225704531442787,97.0,40.065400000000004
10,4.223010622666476e-80,7.03835103777746e-80,0.16998049176065144,0.1691343964413452,-2.1110268245016393,-1.4085007174463013,1.4108984102153805,97.0,35.4739
11,7.588551839090491e-93,4.4504102676450516e-92,0.19444354401600494,0.19362238554915068,-2.2609681668515047,-1.725431211006008,1.519465674975487,97.0,38.2288
12,7.441749158878468e-82,1.3530453016142668e-81,0.17339051886804446,0.17254789962122286,-2.199356098412779,-1.4210148437175298,1.4313891104482406,97.0,34.5556
13,2.559556688469852e-90,1.0238226753879408e-89,0.1896494134321185,0.18882336798199828,-2.3361527173195964,-1.632027557438972,1.514547470018747,97.0,36.3922
14,9.49332280813033e-104,3.1644409360434436e-102,0.21479676948156146,0.21399635844127762,-2.3821322979199517,-1.910828531325438,1.6143426882261944,97.0,38.2288
15,1.9806569398593407e-104,1.9806569398593407e-102,0.21605014033227676,0.21525100693812005,-2.2611996738036035,-1.904491786305255,1.6124344203205774,97.0,39.1471
16,9.196570871121318e-85,2.1387374118886784e-84,0.1790135107474501,0.17817662339856877,-2.0969905084843097,-1.6290263229065651,1.498096210530674,97.0,38.2288
17,2.3548496670632615e-90,9.81187361276359e-90,0.18971826733028285,0.1888922920676226,-2.3430978418090063,-1.7322525266536457,1.5197487695642538,97.0,37.310500000000005
18,5.018061317587731e-89,1.930023583687589e-88,0.18718753969884783,0.18635898469344392,-2.120868417545905,-1.7035800967066435,1.573098298553226,97.0,39.1471
19,5.966966271279501e-99,5.9669662712795e-98,0.20590338056797197,0.20509390389169058,-2.2924934345169934,-1.8641558600329111,1.6066798515032659,97.0,39.1471
20,3.6705038525509756e-97,3.0587532104591462e-96,0.20256192472852974,0.20174904187911946,-2.0946141339790083,-1.7685426780004412,1.5863533388584403,97.0,40.065400000000004
21,8.44444524945106e-104,3.1644409360434436e-102,0.2148904758788892,0.21409016035990736,-2.2410648352919473,-1.879719531231763,1.6079715631629694,97.0,39.1471
22,1.6769580655983888e-87,5.409542147091577e-87,0.18427484434940256,0.1834433202355895,-2.334753752397766,-1.5026626635587028,1.5187475174431104,97.0,34.5556
23,2.5002442631443572e-99,2.7780491812715077e-98,0.20660719193967358,0.20579843270617681,-2.4024237193753377,-1.8501948940201627,1.6255916968532038,97.0,38.2288
24,1.4342170993130054e-86,3.87626243057569e-86,0.18248825475714703,0.18165490945108909,-2.201993917132014,-1.592253459742266,1.4812493982950246,97.0,37.310500000000005
25,1.0451355184383367e-76,1.393514024584449e-76,0.1633427542308562,0.16248989261437385,-2.1988375255586208,-1.4294468024718303,1.4628133251968025,97.0,35.4739
26,5.605579944193711e-83,1.0779961431141751e-82,0.1755666026373187,0.17472620162063912,-2.3055009390454684,-1.4650355015452692,1.5488313287036164,97.0,35.4739
27,1.596796358234738e-85,4.094349636499328e-85,0.18047745257622894,0.17964205752278983,-2.3754765973003362,-1.535384922566597,1.6061949570885767,97.0,35.4739
28,8.404575419309099e-87,2.3346042831414163e-86,0.18293349650523671,0.18210060506436532,-2.353445604985172,-1.6149027335741675,1.616751378258318,97.0,36.3922
29,1.1145553312108398e-100,2.2291106624216795e-99,0.20911886802956325,0.2083126691182784,-2.0905585545250585,-1.8464685659477946,1.5633502233585626,97.0,40.065400000000004
30,1.8481390566461414e-93,1.1550869104038384e-92,0.1956025641934399,0.19478258719465646,-2.3551924742057677,-1.7594263360124855,1.5919533886134067,97.0,37.310500000000005
31,3.0835369924091865e-80,5.2263338854392994e-80,0.1702465215423855,0.1694006974053237,-2.2822648184183687,-1.3834160561540472,1.577810401355993,97.0,34.5556
