region,model_p,model_q,r2,adj_r2,delta_pred_max_age_minus_min_age,min_pred,max_pred,age_at_min_pred,age_at_max_pred
1,2.3395325513868846e-05,2.658559717485096e-05,0.013498066364846073,0.011484797112529366,-0.0001691367665045372,-0.001053973128517486,0.003851447116473694,97.0,74.0425
2,3.346932595018634e-06,4.183665743773293e-06,0.015588660407330757,0.013579657673468137,0.007591069608625419,0.004084391942142698,0.018896995878142225,5.17,46.493500000000004
3,3.2666156054974793e-06,4.134956462655038e-06,0.015614628520798646,0.01360567878308594,0.0025503874709086787,-0.0007618202304986515,0.003352859189043186,5.17,58.431400000000004
4,1.9907659889366597e-05,2.2882367688927125e-05,0.013672581439461373,0.011659668340358254,-0.025057191822961233,0.06800439736718375,0.19728399428096183,97.0,40.9837
5,2.4977783555614386e-05,2.806492534338695e-05,0.013427257526386627,0.011413843766236331,-0.013693583390061667,0.013210847778301392,0.04769370276783238,97.0,37.310500000000005
6,3.036390201644862e-08,4.400565509630235e-08,0.020562914683519673,0.018564063488996196,0.0038419019723764966,-0.0006810314282387226,0.01051723608731988,5.17,51.085
7,6.052515916173366e-07,7.860410280744631e-07,0.017409312026743895,0.015404024908431069,-0.06677953116107836,-0.01946302359996681,0.1481319023852275,97.0,66.6961
8,1.3770648970207222e-11,2.929925312810047e-11,0.028538599025389688,0.026556024737686368,-0.004926512518202312,0.022131245184389112,0.09964744221175653,97.0,45.5752
9,4.413924644602653e-12,1.0031646919551482e-11,0.029704096329760454,0.027723900607984464,0.007266659845082971,0.0046703463096493605,0.037971318574456986,5.17,43.738600000000005
10,2.3762473791353173e-14,6.422290213879236e-14,0.035020163652603076,0.03305081704781243,0.006913449355264548,-0.004336249183390459,0.022861924181069603,5.17,72.2059
11,0.00044574299250362595,0.0004898274642896989,0.010273194863143376,0.008253344240415128,0.0006120493131663909,-0.0009474478187537904,0.001833095914484295,5.17,75.87910000000001
12,8.941700897682062e-17,3.0833451371317454e-16,0.04064347207396479,0.03868560160880963,0.008471409694526321,-0.005294847232662639,0.01738068193642621,5.17,76.7974
13,0.0005266539476888958,0.000572449943140104,0.010088024843092014,0.008067796322363652,0.0002884043373928922,-0.0029071291515956428,0.010602821189967625,5.17,73.1242
14,1.8461992063512897e-05,2.146743263199174e-05,0.013754018224634401,0.011741271323052027,0.014155873571674613,-0.0017509568883040676,0.021605005964141062,5.17,40.9837
15,1.2903770907166553e-09,2.187079814773992e-09,0.023855781382834285,0.021863650324431827,0.035309238904355195,-0.002066514330385836,0.03324272457396936,5.17,97.0
16,6.621869956790392e-07,8.48957686767999e-07,0.017313965301858802,0.015308483598393208,-0.023146917679913184,-0.006253309938295898,0.06386760323623636,97.0,67.6144
17,2.987538713789275e-08,4.393439284984228e-08,0.02057991145337912,0.01858109494614113,0.008015688712510013,-0.007082658293679862,0.02005103189183729,5.17,40.065400000000004
18,1.5143320382880727e-16,5.047773460960243e-16,0.04011509642895139,0.03815614764615327,0.02284894609579098,-0.010396336079947464,0.03578367321353287,5.17,40.9837
19,1.304621361070581e-07,1.7871525494117546e-07,0.019031155463005045,0.017029178229256092,0.012668921172476524,-0.00629196207218396,0.007793498554173774,5.17,39.1471
20,1.2843819554897302e-08,1.9460332658935305e-08,0.021463242148462958,0.019466228356929238,0.014774568102040104,-0.004152698279419682,0.010621869822620422,5.17,97.0
21,1.0650812068639237e-08,1.664189385724881e-08,0.021658817659513496,0.01966220300167576,0.034414523412263046,-0.005904834319054244,0.0285096890932088,5.17,97.0
22,2.2315173732237854e-12,5.3131366029137746e-12,0.03040139324363078,0.02842262057678102,0.01202878169335229,-0.004269025091024843,0.012271585641512258,5.17,81.3889
23,0.01583359042983734,0.016323289102925093,0.006208749000018665,0.0041806035898146465,0.004840403498636302,-0.0014910641768014858,0.0033493393218348155,5.17,97.0
24,1.4839393950962107e-14,4.122053875267252e-14,0.0354965831580869,0.03352820883800134,0.010928422815180455,-0.013970548205892998,0.0277219290356201,5.17,68.5327
25,1.1867849694652688e-09,2.0461809818366705e-09,0.023942605263730266,0.02195065139692154,0.002556508392356589,-0.0007687243031109139,0.003174250291331597,5.17,80.4706
26,9.707436313934372e-28,1.9414872627868744e-26,0.06548840748868301,0.06358124097335371,0.0066228210804199494,-0.0015373242082313229,0.0073008941013501995,5.17,83.2255
27,8.903853809328388e-15,2.5439582312366824e-14,0.03601298926845753,0.034045668838393106,0.03154517704669829,0.0008244042611955323,0.03236958130789382,5.17,97.0
28,0.1379171113109294,0.13931021344538325,0.0035438686813300535,0.0015102847398633656,-4.747600969258166e-05,-0.00034114539719776616,0.00043231213081668096,97.0,76.7974
29,2.734568361680043e-07,3.695362650918977e-07,0.018250291855758327,0.016246721022810884,0.011795254316622808,-0.0019482437911530759,0.009847010525469732,5.17,97.0
30,3.6066376413869875e-10,6.678958595161088e-10,0.025176128458292757,0.023186691985758623,0.029926158937994978,-0.0007119222532835922,0.029214236684711386,5.17,97.0
31,4.721557674978737e-12,1.0492350388841638e-11,0.02963516262186472,0.02765482621905213,0.0010389255415858697,-0.0006646793468402551,0.0027872946126333946,5.17,77.7157
32,4.284163752581263e-27,7.140272920968771e-26,0.06405075703766439,0.06214065654182288,0.002697750419651276,-0.0005561171997492305,0.0033800177145501585,5.17,81.3889
